iter	Passed	Remaining
887	5935	60907
888	5943	60907
889	5946	60872
890	5951	60847
891	5959	60847
892	5962	60809
893	5965	60766
894	5969	60725
895	5977	60731
896	5980	60688
897	5985	60668
898	5989	60637
899	5995	60623
900	6001	60602
901	6008	60600
902	6013	60577
903	6018	60562
904	6025	60552
905	6030	60527
906	6036	60513
907	6041	60499
908	6047	60480
909	6055	60486
910	6061	60471
911	6067	60466
912	6075	60466
913	6080	60450
914	6087	60447
915	6091	60413
916	6096	60388
917	6104	60391
918	6110	60376
919	6115	60357
920	6123	60364
921	6130	60358
922	6137	60361
923	6143	60345
924	6146	60306
925	6156	60332
926	6161	60309
927	6169	60308
928	6174	60286
929	6180	60271
930	6184	60241
931	6189	60224
932	6195	60208
933	6203	60217
934	6209	60201
935	6217	60207
936	6223	60193
937	6230	60188
938	6236	60176
939	6241	60155
940	6248	60156
941	6254	60141
942	6260	60124
943	6266	60113
944	6271	60090
945	6277	60081
946	6284	60074
947	6289	60058
948	6298	60069
949	6304	60056
950	6311	60054
951	6316	60035
952	6322	60021
953	6329	60015
954	6335	60002
955	6341	59992
956	6347	59978
957	6350	59941
958	6356	59930
959	6362	59917
960	6368	59904
961	6375	59898
962	6381	59883
963	6386	59861
964	6393	59862
965	6398	59840
966	6404	59827
967	6410	59816
968	6416	59801
969	6423	59794
970	6428	59777
971	6433	59756
972	6440	59754
973	6446	59741
974	6451	59720
975	6458	59713
976	6463	59690
977	6466	59653
978	6474	59658
979	6480	59646
980	6487	59641
981	6492	59623
982	6498	59614
983	6506	59619
984	6512	59601
985	6518	59588
986	6524	59580
987	6530	59565
988	6536	59559
989	6542	59542
990	6547	59521
991	6553	59513
992	6559	59494
993	6564	59475
994	6571	59469
995	6576	59448
996	6579	59409
997	6583	59384
998	6590	59381
999	6596	59370
1000	6603	59364
1001	6608	59344
1002	6614	59331
1003	6620	59316
1004	6625	59298
1005	6632	59295
1006	6637	59279
1007	6643	59260
1008	6650	59258
1009	6655	59243
1010	6662	59233
1011	6667	59220
1012	6673	59200
1013	6681	59213
1014	6687	59200
1015	6696	59215
1016	6701	59195
1017	6707	59179
1018	6714	59175
1019	6719	59155
1020	6722	59124
1021	6731	59131
1022	6736	59114
1023	6743	59111
1024	6748	59093
1025	6754	59080
1026	6761	59073
1027	6766	59056
1028	6773	59049
1029	6779	59036
1030	6784	59024
1031	6791	59017
1032	6796	59001
1033	6802	58987
1034	6809	58984
1035	6815	58971
1036	6823	58974
1037	6828	58959
1038	6833	58938
1039	6840	58936
1040	6843	58898
1041	6848	58879
1042	6855	58871
1043	6860	58856
1044	6866	58837
1045	6872	58832
1046	6878	58819
1047	6884	58809
1048	6890	58796
1049	6895	58776
1050	6903	58784
1051	6909	58770
1052	6916	58767
1053	6920	58735
1054	6924	58714
1055	6928	58679
1056	6935	58676
1057	6940	58657
1058	6946	58644
1059	6952	58636
1060	6957	58621
1061	6964	58617
1062	6970	58600
1063	6978	58612
1064	6986	58610
1065	6991	58597
1066	6999	58602
1067	7004	58581
1068	7011	58578
1069	7017	58566
1070	7023	58552
1071	7030	58550
1072	7035	58531
1073	7041	58522
1074	7047	58511
1075	7052	58491
1076	7059	58487
1077	7064	58470
1078	7070	58455
1079	7078	58466
1080	7084	58454
1081	7088	58420
1082	7095	58425
1083	7101	58411
1084	7110	58422
1085	7116	58411
1086	7126	58434
1087	7132	58427
1088	7140	58429
1089	7146	58417
1090	7149	58381
1091	7156	58376
1092	7161	58359
1093	7167	58349
1094	7174	58347
1095	7179	58328
1096	7187	58332
1097	7193	58320
1098	7198	58303
1099	7205	58301
1100	7208	58267
1101	7214	58250
1102	7218	58227
1103	7225	58219
1104	7231	58215
1105	7238	58207
1106	7241	58175
1107	7247	58160
1108	7253	58153
1109	7259	58140
1110	7266	58138
1111	7272	58128
1112	7278	58119
1113	7286	58125
1114	7292	58108
1115	7298	58103
1116	7304	58091
1117	7309	58072
1118	7313	58044
1119	7319	58031
1120	7324	58015
1121	7331	58009
1122	7336	57993
1123	7341	57974
1124	7344	57943
1125	7350	57931
1126	7356	57915
1127	7363	57914
1128	7368	57899
1129	7373	57882
1130	7380	57876
1131	7386	57865
1132	7392	57853
1133	7398	57842
1134	7404	57830
1135	7410	57819
1136	7415	57800
1137	7420	57783
1138	7425	57770
1139	7431	57753
1140	7435	57734
1141	7441	57721
1142	7446	57704
1143	7451	57686
1144	7457	57673
1145	7463	57662
1146	7468	57645
1147	7474	57636
1148	7481	57629
1149	7488	57625
1150	7496	57630
1151	7501	57613
1152	7505	57590
1153	7512	57584
1154	7517	57569
1155	7525	57570
1156	7530	57553
1157	7535	57540
1158	7541	57528
1159	7544	57495
1160	7547	57464
1161	7554	57457
1162	7559	57441
1163	7564	57426
1164	7571	57423
1165	7577	57412
1166	7583	57402
1167	7590	57394
1168	7595	57380
1169	7601	57369
1170	7606	57353
1171	7612	57338
1172	7615	57310
1173	7621	57300
1174	7626	57281
1175	7633	57273
1176	7638	57258
1177	7643	57245
1178	7647	57217
1179	7653	57209
1180	7659	57195
1181	7666	57190
1182	7671	57179
1183	7680	57186
1184	7684	57160
1185	7689	57147
1186	7696	57141
1187	7701	57129
1188	7707	57113
1189	7713	57105
1190	7718	57090
1191	7723	57072
1192	7730	57070
1193	7736	57060
1194	7742	57051
1195	7749	57044
1196	7754	57027
1197	7761	57026
1198	7767	57014
1199	7772	56998
1200	7780	57000
1201	7785	56985
1202	7791	56977
1203	7797	56964
1204	7802	56946
1205	7809	56942
1206	7814	56925
1207	7819	56909
1208	7825	56905
1209	7831	56890
1210	7836	56876
1211	7843	56871
1212	7848	56853
1213	7853	56836
1214	7859	56829
1215	7865	56816
1216	7871	56809
1217	7874	56780
1218	7877	56748
1219	7885	56753
1220	7892	56749
1221	7898	56735
1222	7905	56732
1223	7911	56721
1224	7916	56706
1225	7923	56703
1226	7927	56683
1227	7932	56667
1228	7939	56662
1229	7944	56644
1230	7951	56641
1231	7958	56639
1232	7963	56626
1233	7971	56628
1234	7977	56615
1235	7983	56610
1236	7990	56601
1237	7995	56589
1238	8002	56585
1239	8007	56568
1240	8010	56537
1241	8016	56531
1242	8021	56515
1243	8027	56503
1244	8034	56501
1245	8040	56490
1246	8046	56482
1247	8052	56468
1248	8057	56454
1249	8064	56453
1250	8069	56436
1251	8076	56428
1252	8084	56438
1253	8091	56437
1254	8099	56438
1255	8105	56426
1256	8111	56422
1257	8117	56411
1258	8122	56393
1259	8128	56386
1260	8135	56379
1261	8139	56355
1262	8144	56342
1263	8150	56330
1264	8155	56315
1265	8162	56310
1266	8167	56295
1267	8172	56278
1268	8179	56277
1269	8184	56261
1270	8191	56257
1271	8197	56246
1272	8202	56229
1273	8208	56224
1274	8214	56209
1275	8219	56195
1276	8225	56186
1277	8230	56171
1278	8236	56158
1279	8242	56155
1280	8248	56143
1281	8255	56143
1282	8261	56129
1283	8267	56123
1284	8273	56113
1285	8278	56098
1286	8283	56082
1287	8291	56086
1288	8297	56073
1289	8304	56072
1290	8310	56060
1291	8315	56044
1292	8322	56040
1293	8327	56027
1294	8332	56014
1295	8339	56007
1296	8342	55980
1297	8347	55963
1298	8354	55961
1299	8360	55949
1300	8365	55935
1301	8371	55927
1302	8376	55912
1303	8383	55904
1304	8388	55892
1305	8393	55875
1306	8400	55871
1307	8405	55856
1308	8410	55840
1309	8417	55837
1310	8422	55823
1311	8427	55808
1312	8434	55803
1313	8439	55788
1314	8444	55772
1315	8450	55765
1316	8456	55752
1317	8462	55747
1318	8468	55737
1319	8472	55710
1320	8478	55704
1321	8484	55698
1322	8490	55683
1323	8497	55684
1324	8503	55670
1325	8508	55660
1326	8515	55656
1327	8520	55641
1328	8528	55642
1329	8531	55615
1330	8534	55587
1331	8541	55584
1332	8547	55573
1333	8553	55563
1334	8559	55559
1335	8565	55546
1336	8570	55534
1337	8577	55530
1338	8583	55517
1339	8588	55502
1340	8593	55490
1341	8599	55478
1342	8605	55470
1343	8610	55455
1344	8615	55442
1345	8622	55436
1346	8627	55422
1347	8632	55406
1348	8638	55399
1349	8645	55394
1350	8650	55376
1351	8657	55374
1352	8662	55359
1353	8668	55355
1354	8675	55347
1355	8680	55336
1356	8688	55340
1357	8694	55327
1358	8700	55321
1359	8706	55310
1360	8711	55298
1361	8718	55295
1362	8721	55268
1363	8727	55255
1364	8733	55249
1365	8738	55234
1366	8744	55221
1367	8751	55222
1368	8757	55214
1369	8763	55203
1370	8769	55192
1371	8775	55183
1372	8784	55194
1373	8791	55190
1374	8798	55189
1375	8804	55180
1376	8809	55165
1377	8815	55159
1378	8821	55147
1379	8826	55131
1380	8832	55126
1381	8838	55117
1382	8844	55108
1383	8850	55097
1384	8855	55083
1385	8862	55079
1386	8868	55072
1387	8874	55063
1388	8881	55062
1389	8887	55052
1390	8894	55047
1391	8899	55032
1392	8904	55019
1393	8908	54999
1394	8914	54987
1395	8919	54974
1396	8927	54974
1397	8932	54960
1398	8937	54945
1399	8941	54928
1400	8946	54913
1401	8952	54899
1402	8958	54895
1403	8963	54881
1404	8968	54865
1405	8975	54862
1406	8979	54837
1407	8985	54829
1408	8992	54830
1409	8998	54820
1410	9006	54825
1411	9012	54815
1412	9017	54801
1413	9024	54799
1414	9030	54786
1415	9036	54782
1416	9042	54768
1417	9047	54756
1418	9054	54753
1419	9059	54737
1420	9067	54743
1421	9077	54760
1422	9084	54758
1423	9090	54745
1424	9097	54742
1425	9103	54734
1426	9108	54719
1427	9115	54715
1428	9118	54690
1429	9123	54678
1430	9130	54673
1431	9135	54658
1432	9140	54647
1433	9147	54642
1434	9152	54629
